date,price,forecast_price
2020-07-31,162.887,
2020-08-01,151.095,
2020-08-02,169.015,
2020-08-03,160.01,
2020-08-04,170.001,
2020-08-05,157.326,
2020-08-06,143.21,
2020-08-07,153.114,
2020-08-08,159.681,
2020-08-09,154.045,
2020-08-10,163.974,
2020-08-11,156.582,
2020-08-12,154.817,
2020-08-13,160.062,
2020-08-14,148.957,
2020-08-15,152.723,
2020-08-16,147.481,
2020-08-17,164.801,
2020-08-18,142.011,
2020-08-19,138.811,
2020-08-20,153.809,
2020-08-21,154.238,
2020-08-22,166.974,
2020-08-23,163.408,
2020-08-24,165.932,
2020-08-25,147.461,
2020-08-26,164.364,
2020-08-27,159.613,
2020-08-28,158.284,
2020-08-29,142.804,
2020-08-30,144.198,
2020-08-31,153.831,
2020-09-01,146.408,
2020-09-02,155.009,
2020-09-03,138.0,
2020-09-04,155.658,
2020-09-05,142.2,
2020-09-06,148.505,
2020-09-07,138.202,
2020-09-08,140.828,
2020-09-09,151.041,
2020-09-10,141.825,
2020-09-11,140.671,
2020-09-12,146.389,
2020-09-13,148.099,
2020-09-14,148.646,
2020-09-15,150.451,
2020-09-16,152.256,
2020-09-17,145.51,
2020-09-18,155.279,
2020-09-19,155.706,
2020-09-20,151.525,
2020-09-21,162.883,
2020-09-22,158.652,
2020-09-23,151.985,
2020-09-24,167.98,
2020-09-25,149.324,
2020-09-26,159.844,
2020-09-27,162.228,
2020-09-28,175.51,
2020-09-29,174.036,
2020-09-30,167.265,
2020-10-01,162.6795,
2020-10-02,158.094,
2020-10-03,147.51,
2020-10-04,150.045,
2020-10-05,146.815,
2020-10-06,156.363,
2020-10-07,150.401,
2020-10-08,145.73,
2020-10-09,146.278,
2020-10-10,148.393,
2020-10-11,154.449,
2020-10-12,159.303,
2020-10-13,162.705,
2020-10-14,177.239,
2020-10-15,169.598,
2020-10-16,156.208,
2020-10-17,151.888,
2020-10-18,146.7,
2020-10-19,143.849,
2020-10-20,150.718,
2020-10-21,151.468,
2020-10-22,160.1735,
2020-10-23,168.879,
2020-10-24,160.0,
2020-10-25,138.015,
2020-10-26,146.16449999999998,
2020-10-27,154.314,
2020-10-28,148.248,
2020-10-29,148.871,
2020-10-30,142.749,
2020-10-31,147.68,
2020-11-01,154.505,
2020-11-02,139.465,
2020-11-03,147.745,
2020-11-04,150.605,
2020-11-05,157.402,
2020-11-06,155.198,
2020-11-07,144.44,
2020-11-08,151.878,
2020-11-09,148.51,
2020-11-10,143.21,
2020-11-11,149.326,
2020-11-12,149.096,
2020-11-13,149.569,
2020-11-14,147.754,
2020-11-15,143.789,
2020-11-16,144.784,
2020-11-17,153.222,
2020-11-18,146.667,
2020-11-19,146.963,
2020-11-20,147.799,
2020-11-21,145.827,
2020-11-22,138.844,
2020-11-23,145.627,
2020-11-24,144.92,
2020-11-25,145.039,
2020-11-26,136.584,
2020-11-27,149.277,
2020-11-28,137.709,
2020-11-29,139.829,
2020-11-30,140.185,
2020-12-01,138.544,
2020-12-02,139.9285,
2020-12-03,141.313,
2020-12-04,129.113,
2020-12-05,125.596,
2020-12-06,133.891,
2020-12-07,138.188,
2020-12-08,131.705,
2020-12-09,121.18,
2020-12-10,124.294,
2020-12-11,132.207,
2020-12-12,138.666,
2020-12-13,144.655,
2020-12-14,130.623,
2020-12-15,133.646,
2020-12-16,143.189,
2020-12-17,133.712,
2020-12-18,134.299,
2020-12-19,135.992,
2020-12-20,144.159,
2020-12-21,135.258,
2020-12-22,138.612,
2020-12-23,147.978,
2020-12-24,150.296,
2020-12-25,169.103,
2020-12-26,155.043,
2020-12-27,152.13,
2020-12-28,147.003,
2020-12-29,165.075,
2020-12-30,162.127,
2020-12-31,162.778,
2021-01-01,171.122,
2021-01-02,172.567,
2021-01-03,163.927,
2021-01-04,167.932,
2021-01-05,160.968,
2021-01-06,181.7,
2021-01-07,168.958,
2021-01-08,177.777,
2021-01-09,172.974,
2021-01-10,186.73,
2021-01-11,181.535,
2021-01-12,174.75,
2021-01-13,177.816,
2021-01-14,172.145,
2021-01-15,171.023,
2021-01-16,175.3,
2021-01-17,174.712,
2021-01-18,174.786,
2021-01-19,171.944,
2021-01-20,172.714,
2021-01-21,169.695,
2021-01-22,167.174,
2021-01-23,173.218,
2021-01-24,176.248,
2021-01-25,171.07,
2021-01-26,162.846,
2021-01-27,173.349,
2021-01-28,173.773,
2021-01-29,166.383,
2021-01-30,168.55,
2021-01-31,172.663,
2021-02-01,168.695,
2021-02-02,166.659,
2021-02-03,160.578,
2021-02-04,161.76,
2021-02-05,172.826,
2021-02-06,169.268,
2021-02-07,175.591,
2021-02-08,160.898,
2021-02-09,173.379,
2021-02-10,162.592,
2021-02-11,154.697,
2021-02-12,153.351,
2021-02-13,140.733,
2021-02-14,148.209,
2021-02-15,148.393,
2021-02-16,151.984,
2021-02-17,188.365,
2021-02-18,145.405,
2021-02-19,155.278,
2021-02-20,158.09,
2021-02-21,164.564,
2021-02-22,151.306,
2021-02-23,163.221,
2021-02-24,153.003,
2021-02-25,154.59,
2021-02-26,153.391,
2021-02-27,159.654,
2021-02-28,154.512,
2021-03-01,155.81,
2021-03-02,139.345,
2021-03-03,165.073,
2021-03-04,161.317,
2021-03-05,162.136,
