date,price,forecast_price
2016-07-16,2.951,
2016-07-17,2.92,
2016-07-18,2.859,
2016-07-19,3.091,
2016-07-20,3.02,
2016-07-21,3.014,
2016-07-22,2.942,
2016-07-23,2.848,
2016-07-24,2.939,
2016-07-25,2.931,
2016-07-26,3.028,
2016-07-27,2.903,
2016-07-28,3.008,
2016-07-29,2.988,
2016-07-30,2.975,
2016-07-31,2.972,
2016-08-01,2.986,
2016-08-02,3.078,
2016-08-03,2.879,
2016-08-04,2.811,
2016-08-05,2.874,
2016-08-06,2.71,
2016-08-07,2.637,
2016-08-08,2.709,
2016-08-09,2.672,
2016-08-10,2.527,
2016-08-11,2.419,
2016-08-12,2.527,
2016-08-13,2.83,
2016-08-14,2.723,
2016-08-15,2.582,
2016-08-16,2.71,
2016-08-17,2.67,
2016-08-18,2.675,
2016-08-19,2.757,
2016-08-20,3.1,
2016-08-21,2.834,
2016-08-22,2.778,
2016-08-23,2.963,
2016-08-24,2.824,
2016-08-25,2.809,
2016-08-26,2.854,
2016-08-27,2.919,
2016-08-28,2.922,
2016-08-29,2.964,
2016-08-30,2.973,
2016-08-31,3.063,
2016-09-01,3.021,
2016-09-02,3.01,
2016-09-03,3.032,
2016-09-04,2.981,
2016-09-05,3.037,
2016-09-06,3.195,
2016-09-07,3.178,
2016-09-08,3.121,
2016-09-09,3.153,
2016-09-10,3.065,
2016-09-11,2.982,
2016-09-12,2.968,
2016-09-13,3.106,
2016-09-14,3.344,
2016-09-15,3.264,
2016-09-16,3.231,
2016-09-17,3.171,
2016-09-18,3.112,
2016-09-19,3.083,
2016-09-20,3.09,
2016-09-21,3.131,
2016-09-22,3.071,
2016-09-23,3.103,
2016-09-24,3.139,
2016-09-25,3.293,
2016-09-26,3.293,
2016-09-27,3.257,
2016-09-28,3.287,
2016-09-29,3.256,
2016-09-30,3.288,
2016-10-01,3.35,
2016-10-02,3.258,
2016-10-03,3.138,
2016-10-04,3.255,
2016-10-05,3.373,
2016-10-06,3.324,
2016-10-07,3.393,
2016-10-08,3.309,
2016-10-09,3.309,
2016-10-10,3.408,
2016-10-11,3.329,
2016-10-12,3.276,
2016-10-13,3.195,
2016-10-14,3.177,
2016-10-15,3.296,
2016-10-16,3.254,
2016-10-17,3.304,
2016-10-18,3.193,
2016-10-19,3.274,
2016-10-20,3.242,
2016-10-21,3.343,
2016-10-22,3.173,
2016-10-23,3.126,
2016-10-24,3.097,
2016-10-25,3.063,
2016-10-26,3.09,
2016-10-27,2.974,
2016-10-28,3.032,
2016-10-29,2.928,
2016-10-30,2.872,
2016-10-31,2.945,
2016-11-01,3.184,
2016-11-02,3.133,
2016-11-03,3.204,
2016-11-04,3.332,
2016-11-05,3.362,
2016-11-06,3.478,
2016-11-07,3.417,
2016-11-08,3.443,
2016-11-09,3.511,
2016-11-10,3.444,
2016-11-11,3.497,
2016-11-12,3.43,
2016-11-13,3.472,
2016-11-14,3.398,
2016-11-15,3.459,
2016-11-16,3.379,
2016-11-17,3.421,
2016-11-18,3.52,
2016-11-19,3.579,
2016-11-20,3.486,
2016-11-21,3.2,
2016-11-22,3.244,
2016-11-23,3.206,
2016-11-24,3.028,
2016-11-25,3.048,
2016-11-26,3.035,
2016-11-27,3.139,
2016-11-28,3.071,
2016-11-29,3.246,
2016-11-30,3.497,
2016-12-01,3.637,
2016-12-02,3.746,
2016-12-03,3.743,
2016-12-04,3.632,
2016-12-05,3.667,
2016-12-06,3.567,
2016-12-07,3.538,
2016-12-08,3.521,
2016-12-09,3.669,
2016-12-10,3.683,
2016-12-11,3.667,
2016-12-12,3.579,
2016-12-13,3.608,
2016-12-14,3.5,
2016-12-15,3.49,
2016-12-16,3.492,
2016-12-17,3.578,
2016-12-18,3.531,
2016-12-19,3.351,
2016-12-20,3.213,
2016-12-21,3.169,
2016-12-22,3.124,
2016-12-23,3.027,
2016-12-24,3.116,
2016-12-25,3.467,
2016-12-26,3.583,
2016-12-27,3.483,
2016-12-28,3.417,
2016-12-29,3.442,
2016-12-30,3.316,
2016-12-31,3.397,
2017-01-01,3.403,
2017-01-02,3.448,
2017-01-03,3.682,
2017-01-04,3.801,
2017-01-05,3.941,
2017-01-06,3.774,
2017-01-07,3.73,
2017-01-08,3.676,
2017-01-09,3.857,
2017-01-10,3.816,
2017-01-11,3.826,
2017-01-12,3.711,
2017-01-13,3.677,
2017-01-14,3.663,
2017-01-15,3.669,
2017-01-16,4.197,
2017-01-17,3.845,
2017-01-18,3.833,
2017-01-19,3.805,
2017-01-20,3.767,
2017-01-21,3.85,
2017-01-22,3.892,
2017-01-23,4.022,
2017-01-24,4.17,
2017-01-25,4.187,
2017-01-26,4.2,
2017-01-27,4.077,
2017-01-28,4.186,
2017-01-29,4.564,
2017-01-30,4.593,
2017-01-31,4.599,
2017-02-01,4.392,
2017-02-02,4.144,
2017-02-03,4.264,
2017-02-04,4.241,
2017-02-05,4.33,
2017-02-06,4.264,
2017-02-07,4.216,
2017-02-08,4.212,
2017-02-09,4.326,
2017-02-10,4.478,
2017-02-11,4.488,
2017-02-12,4.533,
2017-02-13,4.627,
2017-02-14,4.546,
2017-02-15,4.34,
2017-02-16,4.411,
2017-02-17,4.548,
2017-02-18,4.59,
2017-02-19,4.632,
2017-02-20,4.343,
2017-02-21,4.533,
2017-02-22,4.721,
2017-02-23,4.722,
2017-02-24,4.856,
2017-02-25,4.819,
2017-02-26,4.687,
2017-02-27,4.738,
2017-02-28,4.664,
2017-03-01,4.606,
2017-03-02,4.805,
2017-03-03,4.808,
2017-03-04,4.948,
2017-03-05,4.987,
2017-03-06,5.012,
2017-03-07,5.059,
2017-03-08,5.01,
2017-03-09,4.98,
2017-03-10,4.875,
2017-03-11,5.025,
2017-03-12,5.02,
2017-03-13,4.801,
2017-03-14,4.976,
2017-03-15,4.995,
2017-03-16,5.243,
2017-03-17,5.922,
2017-03-18,5.315,
2017-03-19,5.161,
2017-03-20,5.243,
2017-03-21,5.318,
2017-03-22,5.248,
2017-03-23,5.145,
2017-03-24,5.268,
2017-03-25,5.108,
2017-03-26,4.99,
2017-03-27,4.997,
2017-03-28,5.022,
2017-03-29,4.808,
2017-03-30,4.873,
2017-03-31,4.976,
2017-04-01,5.007,
2017-04-02,4.747,
2017-04-03,4.836,
2017-04-04,4.773,
2017-04-05,5.03,
2017-04-06,4.946,
2017-04-07,5.094,
2017-04-08,5.083,
2017-04-09,5.041,
2017-04-10,4.977,
2017-04-11,5.083,
2017-04-12,5.624,
2017-04-13,5.214,
2017-04-14,5.345,
2017-04-15,5.199,
2017-04-16,5.306,
2017-04-17,5.26,
2017-04-18,5.297,
2017-04-19,5.206,
2017-04-20,5.205,
2017-04-21,5.134,
2017-04-22,5.077,
2017-04-23,5.204,
2017-04-24,5.274,
2017-04-25,5.245,
2017-04-26,5.659,
2017-04-27,5.252,
2017-04-28,5.356,
