date,avg_players,peak_players
2022-11-01,1129095.0,1872860.363295613
2022-12-01,1065079.0,1766675.2955938415
2023-01-01,1199684.0,1989948.243575549
2023-02-01,1354248.0,2246327.72377201
2023-03-01,1519457.0,2520364.352895073
2023-04-01,1510231.0,2505060.9375830176
2023-05-01,1802853.0,2990440.9500959497
2023-06-01,1665869.0,2763221.890578649
2023-07-01,1222913.0,2028478.8130838664
2023-08-01,1369511.0,2271644.8739896454
2023-09-01,1556326.0,2581519.958698257
2023-10-01,1364902.0,2263999.801241622
2023-11-01,1161043.0,1925853.3735264337
2023-12-01,1248217.0,2070451.2411194455
2024-01-01,1277907.0,2119698.845781805
2024-02-01,1347519.0,2235166.149781676
2024-03-01,1521796.0,2524244.115350622
2024-04-01,1618685.0,2684956.5157592227
2024-05-01,1614925.0,2678719.7022351245
2024-06-01,1510840.0,2506071.1023266814
2024-07-01,1342171.0,2226295.277779847
2024-08-01,1425958.0,2365275.0370201673
2024-09-01,1473144.0,2443543.729293596
2024-09-15,1419515.0,2354587.858952145
2024-09-16,1348169.0,2236244.3223323845
2024-09-17,1334645.0,2213811.6983696446
2024-09-18,1359657.0,2255299.778120905
2024-09-19,1371076.0,2274240.781746351
2024-09-20,1420049.0,2355473.619170727
2024-09-21,1473144.0,2443543.729293596
2024-09-22,1455541.0,2414345.1578934104
2024-09-23,1327897.0,2202618.60856629
2024-09-24,1345134.0,2231210.0858840765
2024-09-25,1337852.0,2219131.2358621396
2024-09-26,1269659.0,2106017.6654768153
2024-09-27,1349267.0,2238065.604579581
2024-09-28,1351900.0,2242433.032773451
2024-09-29,1377556.0,2284989.3327134135
2024-09-30,1282822.0,2127851.488992162
2024-10-01,1181540.0,1959852.3008677736
2024-10-02,1203757.0,1996704.238650988
2024-10-03,1317481.0,2185341.308122937
2024-10-04,1316149.0,2183131.8837574855
2024-10-05,1356166.0,2249509.1621601004
2024-10-06,1449701.0,2404658.1922070454
2024-10-07,1363872.0,2262291.312430499
2024-10-08,1394652.0,2313346.929524047
2024-10-09,1387536.0,2301543.428184291
2024-10-10,1327941.0,2202691.592554338
2024-10-11,1359212.0,2254561.64460542
2024-10-12,1484045.0,2461625.512332477
2024-10-13,1456433.0,2415824.7423783825
2024-10-14,1350044.0,2239354.435459428
2024-10-15,1340689.0,2223837.0443642316
2024-10-16,1363774.0,2262128.7571843923
2024-10-17,1338261.0,2219809.6552055855
2024-10-18,1381046.0,2290778.2899472173
2024-10-19,1433218.0,2377317.39504808
2024-10-20,1442806.0,2393221.26953453
2024-10-21,1355963.0,2249172.4405788793
2024-10-22,1362014.0,2259209.3976624743
2024-10-23,1394521.0,2313129.636286904
2024-10-24,1333709.0,2212259.1298966245
2024-10-25,1354444.0,2246652.8342642235
2024-10-26,1362168.0,2259464.841620642
2024-10-27,1359073.0,2254331.081552269
2024-10-28,1290730.0,2140968.702116781
2024-10-29,1278907.0,2121357.572782895
2024-10-30,1288761.0,2137702.668651635
2024-10-31,1282491.0,2127302.450354801
2024-11-01,1304013.0,2163001.5728722583
2024-11-02,1279785.0,2122813.9350898517
2024-11-03,1406484.0,2332972.9874009425
2024-11-04,1325387.0,2198455.203793554
2024-11-05,1286494.0,2133942.334540164
2024-11-06,1327574.0,2202082.8397449376
2024-11-07,1249266.0,2072191.245743589
2024-11-08,1343844.0,2229070.3280526707
2024-11-09,1395333.0,2314476.522611789
2024-11-10,1409594.0,2338131.628374332
2024-11-11,1346798.0,2233970.20761389
2024-11-12,1349935.0,2239173.634216309
2024-11-13,870089.1666666666,1369364.0
2024-11-14,820825.5416666666,1418430.0
2024-11-15,886094.625,1429481.0
2024-11-16,962155.1666666666,1490306.0
2024-11-17,934473.375,1508761.0
2024-11-18,826532.1666666666,1404536.0
2024-11-19,831433.9166666666,1382136.0
2024-11-20,837993.0416666666,1467418.0
2024-11-21,838450.4166666666,1411595.0
2024-11-22,896281.4583333334,1443038.0
2024-11-23,984068.6666666666,1525073.0
2024-11-24,952625.5416666666,1503204.0
2024-11-25,824292.9166666666,1396001.0
2024-11-26,837793.75,1421019.0
2024-11-27,857975.7916666666,1500453.0
2024-11-28,867769.0,1463260.0
2024-11-29,931325.25,1508609.0
2024-11-30,1017667.375,1556938.0
2024-12-01,952817.875,1504816.0
2024-12-02,813608.8333333334,1365911.0
2024-12-03,818186.25,1401773.0
2024-12-04,898777.9583333334,1509212.0
2024-12-05,857166.8333333334,1465785.0
2024-12-06,858612.0833333334,1441550.0
2024-12-07,994551.7083333334,1573901.0
2024-12-08,971384.0833333334,1595114.0
2024-12-09,853500.0416666666,1459806.0
2024-12-10,858476.0416666666,1460550.0
2024-12-11,875176.8333333334,1523351.0
2024-12-12,820150.3333333334,1465724.0
2024-12-13,870532.8947368421,1516488.0
